,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
10,Fabrizio Cacciatore ,32, D(LR),7.74,Cagliari,182,81,2,163,-,2,-,-,0.5,77.2,-,-,-,2,0.5,1.5,-,-,-,-,-,1.5,1.5,0.5,-,2,-,-,-,2,1.5,39.5,77.2,1.5,2,-
11,Filip Bradaric ,27, DMC,6.4,Cagliari,186,78,15(8),1273,-,-,5,-,0.6,85.9,0.7,-,-,-,0.6,0.3,-,0.3,-,0.5,0.3,0.9,1.5,0.8,-,1.8,0.3,0.1,1,-,0.3,38.8,85.9,-,2.6,0.1
12,Filippo Romagna ,21, D(C),6.55,Cagliari,186,75,13,1160,-,-,2,-,0.3,88.9,2.2,-,-,-,0.3,-,-,0.9,-,-,0.2,0.8,1.1,0.6,0.8,4.1,0.2,0.5,-,-,-,40.8,88.9,-,2.6,-
13,Francesco Verde ,19, Forward,6.19,Cagliari,187,0,0(1),11,-,-,-,-,-,50.0,1,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,2.0,50.0,-,-,-
14,João Pedro ,27," AM(C),FW",6.72,Cagliari,184,73,24(2),2052,6,2,3,1,1.9,75.4,2,1,6,2,1.9,1.1,0.6,1.8,0.3,1.4,1.8,0.5,0.2,1.5,-,0.4,0.2,0.1,-,2,1.1,23.0,75.4,0.6,0.7,-
15,Kiril Despodov ,22, Forward,6.07,Cagliari,178,69,0(4),102,-,-,-,-,-,40.0,0.3,-,-,-,-,-,0.3,0.3,0.5,0.3,1,-,-,0.8,-,-,0.3,-,-,-,-,3.8,40.0,-,-,-
16,Leonardo Pavoletti ,30, FW,7.22,Cagliari,188,80,23(1),2049,10,1,5,-,2.7,68.0,7.8,5,10,1,2.7,0.6,0.3,1.3,0.8,1.2,2.5,0.9,0.3,2.6,-,0.7,0.3,0.1,-,1,0.6,26.2,68.0,-,0.4,-
17,Luca Ceppitelli ,29, D(C),6.63,Cagliari,186,80,20,1694,1,1,4,2,0.6,81.3,2.7,-,1,1,0.6,0.1,0.1,0.6,-,0.2,0.2,1.9,0.8,0.9,0.8,4.6,0.4,1,1,1,0.1,49.4,81.3,-,4.4,-
18,Luca Cigarini ,32, M(C),6.78,Cagliari,175,72,14(5),1197,-,-,7,-,0.6,80.5,0.8,-,-,-,0.6,1.2,0.5,0.7,-,0.4,0.5,2.1,1.2,1.5,-,1.6,1.3,0.2,-,-,1.2,47.6,80.5,1.2,2.9,0.1
19,Luca Pellegrini ,20, D(L),6.64,Cagliari,178,72,6(1),499,-,1,2,-,0.3,67.6,0.9,-,-,1,0.3,0.6,0.6,0.3,-,0.9,1,2.3,1.9,1.4,-,1.4,1,0.4,-,1,0.6,24.7,67.6,0.9,1.9,-
